
Box(-inf, inf, (111,), float64)
global_step=24043, return_per_episode=-122.51547241210938
global_step=24058, return_per_episode=-36.6571044921875
global_step=24086, return_per_episode=-43.63230895996094
global_step=24136, return_per_episode=-88.75737762451172
global_step=24153, return_per_episode=-25.72308921813965
global_step=24187, return_per_episode=-85.05945587158203
SPS: 426
global_step=25187, return_per_episode=-1642.25390625
global_step=25298, return_per_episode=-203.93206787109375
global_step=25355, return_per_episode=-116.73307037353516
global_step=25373, return_per_episode=-38.762733459472656
global_step=25455, return_per_episode=-133.2830047607422
global_step=25495, return_per_episode=-69.80457305908203
global_step=25538, return_per_episode=-119.36198425292969
global_step=25576, return_per_episode=-88.38671112060547
global_step=25596, return_per_episode=-34.14250946044922
global_step=25662, return_per_episode=-108.17862701416016
global_step=25801, return_per_episode=-280.9732666015625
global_step=25862, return_per_episode=-136.42889404296875
global_step=25930, return_per_episode=-120.1871337890625
global_step=25967, return_per_episode=-74.58097076416016
global_step=26013, return_per_episode=-98.21688079833984
global_step=26054, return_per_episode=-66.38346862792969
global_step=26167, return_per_episode=-219.6029052734375
global_step=26202, return_per_episode=-78.90896606445312
global_step=26214, return_per_episode=-19.810623168945312
SPS: 431
global_step=27214, return_per_episode=-1711.2528076171875
global_step=27311, return_per_episode=-117.33968353271484
global_step=27340, return_per_episode=-46.29893493652344
global_step=27354, return_per_episode=-40.312992095947266
global_step=27432, return_per_episode=-72.42579650878906
global_step=27478, return_per_episode=-121.2047348022461
global_step=27524, return_per_episode=-87.0475845336914
global_step=28524, return_per_episode=-1670.22216796875
global_step=28577, return_per_episode=-109.17598724365234
global_step=28656, return_per_episode=-111.13626098632812
SPS: 435
global_step=28693, return_per_episode=-56.260276794433594
global_step=29693, return_per_episode=-1581.251220703125
global_step=29734, return_per_episode=-64.41303253173828
global_step=29753, return_per_episode=-36.2115364074707
global_step=29772, return_per_episode=-30.65776824951172
global_step=29880, return_per_episode=-172.9402313232422
global_step=29896, return_per_episode=-36.38925552368164
global_step=29949, return_per_episode=-45.589481353759766
global_step=29985, return_per_episode=-69.04295349121094
global_step=30117, return_per_episode=-193.30056762695312
global_step=30195, return_per_episode=-107.8440170288086
global_step=30313, return_per_episode=-200.6190643310547
global_step=30337, return_per_episode=-38.78396987915039
global_step=30407, return_per_episode=-143.59811401367188
global_step=30490, return_per_episode=-105.88465881347656
global_step=30547, return_per_episode=-100.6142349243164
global_step=30596, return_per_episode=-55.37553405761719
global_step=30668, return_per_episode=-83.79407501220703
SPS: 438
global_step=31668, return_per_episode=-1376.5203857421875
global_step=32668, return_per_episode=-1482.292236328125
global_step=32760, return_per_episode=-120.02557373046875
SPS: 439
global_step=32798, return_per_episode=-56.594242095947266
global_step=32814, return_per_episode=-22.807785034179688
global_step=32836, return_per_episode=-28.225725173950195
global_step=32893, return_per_episode=-98.37588500976562
global_step=32908, return_per_episode=-22.961637496948242
global_step=32939, return_per_episode=-53.40281677246094
global_step=32970, return_per_episode=-81.79667663574219
global_step=33003, return_per_episode=-11.690744400024414
global_step=33043, return_per_episode=-52.80576705932617
global_step=33058, return_per_episode=-19.450763702392578
