
Box(-inf, inf, (111,), float64)
global_step=31364, return_per_episode=-78.9711685180664
global_step=31413, return_per_episode=-59.336692810058594
global_step=31449, return_per_episode=-43.832515716552734
global_step=31540, return_per_episode=-127.25538635253906
global_step=31570, return_per_episode=-37.890445709228516
global_step=31678, return_per_episode=-23.350967407226562
global_step=31772, return_per_episode=-93.06704711914062
global_step=31904, return_per_episode=-211.09068298339844
global_step=31944, return_per_episode=-31.394351959228516
global_step=31966, return_per_episode=-31.40717315673828
global_step=32036, return_per_episode=-86.69769287109375
global_step=32069, return_per_episode=-26.24211883544922
global_step=32220, return_per_episode=-147.01292419433594
global_step=32303, return_per_episode=-45.44647979736328
global_step=32365, return_per_episode=-33.68792724609375
global_step=32381, return_per_episode=-14.878250122070312
global_step=32507, return_per_episode=-112.9323501586914
global_step=32668, return_per_episode=-284.7249450683594
global_step=32759, return_per_episode=-69.38333892822266
SPS: 240
global_step=32895, return_per_episode=-111.69356536865234
global_step=32932, return_per_episode=-63.02178192138672
global_step=33001, return_per_episode=-45.887630462646484
global_step=33032, return_per_episode=-14.011784553527832
global_step=33153, return_per_episode=-126.48981475830078
global_step=33190, return_per_episode=-81.78700256347656
global_step=33231, return_per_episode=-26.31216049194336
global_step=33267, return_per_episode=-72.7926254272461
global_step=33293, return_per_episode=-6.615990161895752
global_step=33327, return_per_episode=-41.430057525634766
global_step=33354, return_per_episode=-7.957382678985596
global_step=33468, return_per_episode=-114.60079956054688
global_step=33565, return_per_episode=-53.68465042114258
global_step=33576, return_per_episode=-0.7328389883041382
global_step=33657, return_per_episode=-32.94245529174805
global_step=33727, return_per_episode=13.42838191986084
global_step=33760, return_per_episode=-41.99734878540039
global_step=33869, return_per_episode=-133.3715362548828
global_step=33887, return_per_episode=-5.254183769226074
global_step=33910, return_per_episode=-49.239925384521484
global_step=33938, return_per_episode=-50.52479934692383
SPS: 244
global_step=34938, return_per_episode=-920.5374755859375
global_step=34969, return_per_episode=-38.502113342285156
global_step=35073, return_per_episode=-94.92759704589844
global_step=35117, return_per_episode=-32.73495864868164
global_step=35165, return_per_episode=-49.23910903930664
global_step=35189, return_per_episode=-17.11789321899414
global_step=35209, return_per_episode=-3.348573923110962
global_step=35233, return_per_episode=-31.36212921142578
global_step=35262, return_per_episode=-42.47718048095703
