
Box(-inf, inf, (111,), float64)
global_step=32461, return_per_episode=149.08355712890625
global_step=32722, return_per_episode=819.0714721679688
global_step=32761, return_per_episode=147.77890014648438
Time Taken: 346
global_step=32915, return_per_episode=444.7816162109375
global_step=32926, return_per_episode=27.80732536315918
global_step=33115, return_per_episode=562.1386108398438
global_step=33158, return_per_episode=116.88098907470703
global_step=33174, return_per_episode=39.638587951660156
global_step=33210, return_per_episode=128.08836364746094
global_step=33290, return_per_episode=264.7106018066406
global_step=33330, return_per_episode=108.10176849365234
global_step=33443, return_per_episode=385.6941223144531
global_step=33517, return_per_episode=203.72833251953125
global_step=33532, return_per_episode=46.68030548095703
global_step=33595, return_per_episode=152.27896118164062
global_step=33669, return_per_episode=223.5899658203125
global_step=33724, return_per_episode=173.198486328125
global_step=33839, return_per_episode=336.62164306640625
global_step=33897, return_per_episode=190.24066162109375
global_step=33927, return_per_episode=60.861900329589844
global_step=34022, return_per_episode=369.6631774902344
global_step=34095, return_per_episode=240.72377014160156
global_step=34212, return_per_episode=269.46075439453125
global_step=34259, return_per_episode=153.29676818847656
global_step=34377, return_per_episode=371.80487060546875
global_step=34484, return_per_episode=270.46673583984375
global_step=34536, return_per_episode=160.38319396972656
global_step=34690, return_per_episode=434.3840637207031
global_step=34806, return_per_episode=352.8644714355469
Time Taken: 349
global_step=34826, return_per_episode=50.13236999511719
global_step=34900, return_per_episode=164.5860595703125
global_step=34929, return_per_episode=98.16265869140625
global_step=34989, return_per_episode=196.35186767578125
global_step=35031, return_per_episode=165.2882080078125
global_step=35167, return_per_episode=479.2447814941406
global_step=35231, return_per_episode=233.45712280273438
global_step=35302, return_per_episode=85.60405731201172
global_step=35378, return_per_episode=256.3174743652344
global_step=35419, return_per_episode=147.3677978515625
global_step=35484, return_per_episode=128.91571044921875
global_step=35525, return_per_episode=139.90396118164062
global_step=35598, return_per_episode=244.3766326904297
global_step=35821, return_per_episode=563.3486328125
global_step=35970, return_per_episode=491.7212829589844
global_step=36017, return_per_episode=165.2548065185547
global_step=36167, return_per_episode=485.1139221191406
